  1953 / 93 =         5073 / 89 =         2291 / 29 =         4284 / 84 =       

  1020 / 12 =         1650 / 55 =         1173 / 69 =         1320 / 55 =       

  1148 / 28 =         1364 / 62 =         2808 / 78 =         3318 / 42 =       

  2940 / 98 =          476 / 14 =         2684 / 61 =         1760 / 80 =       

  3240 / 72 =         2262 / 29 =         7812 / 93 =         4185 / 93 =       

  2310 / 42 =         1794 / 23 =         3367 / 37 =         2205 / 35 =       

  2420 / 55 =         3220 / 46 =          984 / 82 =         2816 / 32 =       

  6308 / 83 =          800 / 10 =         1650 / 50 =         6816 / 96 =       

  4150 / 83 =         6004 / 79 =         1880 / 94 =         1470 / 15 =       

   476 / 34 =         2200 / 40 =          625 / 25 =         2295 / 85 =       

  2745 / 61 =         1500 / 75 =         1408 / 16 =         2184 / 42 =       

   264 / 11 =         1026 / 19 =         2070 / 69 =         5251 / 59 =       

  6497 / 73 =         5120 / 80 =         4232 / 92 =         3570 / 51 =       

  1925 / 77 =         3115 / 89 =         3600 / 40 =         2728 / 31 =       

  1189 / 29 =         6336 / 66 =         5576 / 82 =         2760 / 46 =       

   437 / 19 =         3956 / 92 =         1624 / 58 =         4408 / 58 =       

  4920 / 60 =         1992 / 24 =         3696 / 56 =         4240 / 80 =       

  1722 / 41 =         2886 / 74 =         4150 / 83 =         5332 / 62 =       

  1044 / 87 =         1764 / 63 =         1056 / 16 =         1558 / 41 =       

  4416 / 92 =         5335 / 97 =         4399 / 83 =         3942 / 73 =       

  3510 / 90 =         1152 / 72 =          615 / 41 =         1020 / 68 =       

  3172 / 61 =         1953 / 21 =          600 / 12 =         3910 / 85 =       

  5913 / 73 =         2442 / 33 =         1456 / 28 =         1287 / 39 =       

   832 / 64 =         6030 / 67 =         1520 / 16 =         2442 / 33 =       

  2756 / 52 =         3040 / 32 =         2880 / 48 =         5544 / 84 =       

  3128 / 92 =         3010 / 70 =         1863 / 27 =         3510 / 54 =       

  6076 / 98 =         6888 / 82 =         1080 / 36 =         1148 / 28 =       

  2024 / 22 =          972 / 36 =         1183 / 13 =         1235 / 13 =       

  1410 / 47 =         3404 / 37 =         4725 / 75 =         2250 / 30 =       

  1984 / 32 =         2108 / 62 =         6557 / 83 =         4292 / 58 =       

   910 / 65 =         5335 / 97 =         6432 / 67 =         6319 / 89 =       

  1176 / 14 =         2368 / 37 =         8463 / 91 =         2960 / 40 =       

  1224 / 72 =         1780 / 89 =         1725 / 25 =         2024 / 88 =       

  3552 / 74 =         2920 / 40 =         4896 / 72 =         5162 / 89 =       

  1558 / 19 =         5170 / 55 =          828 / 23 =         2698 / 71 =       

  1564 / 34 =         1989 / 39 =         3876 / 76 =         2120 / 53 =       

  1035 / 69 =         3901 / 47 =          902 / 41 =         6853 / 77 =       

  1254 / 57 =         1440 / 18 =         1798 / 29 =         2580 / 60 =       

  2940 / 70 =         8184 / 88 =         1620 / 18 =         1817 / 23 =       

   902 / 22 =         2322 / 54 =         4092 / 66 =          200 / 10 =       

  1638 / 39 =          440 / 40 =         6364 / 74 =         3626 / 74 =       

  2652 / 52 =          480 / 30 =         2592 / 36 =          770 / 22 =       

  5712 / 68 =         5016 / 88 =         5402 / 73 =         6825 / 91 =       

   594 / 22 =          540 / 10 =         3150 / 90 =         3698 / 43 =       

  6674 / 71 =         5040 / 70 =         3045 / 35 =         5829 / 67 =       

  6808 / 92 =          240 / 20 =         2652 / 34 =         1892 / 22 =       

   320 / 16 =         2730 / 70 =          880 / 11 =         3010 / 43 =       

   627 / 19 =         5850 / 65 =         5940 / 90 =         4806 / 89 =       

  7315 / 77 =          532 / 28 =          572 / 22 =          561 / 17 =       

  1007 / 19 =         2448 / 34 =         1353 / 33 =         1743 / 21 =       

  1216 / 16 =         1404 / 26 =         2511 / 27 =         1173 / 17 =       

  6120 / 68 =         3220 / 92 =         3540 / 60 =         4292 / 58 =       

