39 X 92 =           13 X 80 =           76 X 85 =           85 X 70 =           

54 X 33 =           50 X 63 =           57 X 13 =           67 X 89 =           

48 X 14 =           54 X 25 =           14 X 56 =           90 X 18 =           

84 X 44 =           75 X 71 =           84 X 64 =           36 X 12 =           

27 X 81 =           57 X 79 =           14 X 47 =           16 X 54 =           

68 X 92 =           28 X 17 =           98 X 23 =           12 X 89 =           

98 X 31 =           61 X 92 =           77 X 90 =           54 X 61 =           

52 X 39 =           41 X 19 =           84 X 76 =           96 X 27 =           

23 X 58 =           92 X 42 =           74 X 35 =           53 X 68 =           

83 X 39 =           52 X 42 =           33 X 27 =           14 X 19 =           

98 X 16 =           41 X 67 =           34 X 51 =           79 X 48 =           

78 X 79 =           57 X 96 =           95 X 87 =           71 X 31 =           

55 X 92 =           78 X 30 =           26 X 61 =           95 X 14 =           

48 X 44 =           78 X 64 =           51 X 46 =           82 X 34 =           

79 X 19 =           71 X 42 =           62 X 31 =           51 X 51 =           

78 X 14 =           59 X 51 =           30 X 91 =           40 X 87 =           

40 X 93 =           90 X 69 =           35 X 44 =           98 X 64 =           

41 X 85 =           87 X 12 =           81 X 21 =           72 X 29 =           

94 X 38 =           48 X 78 =           91 X 97 =           59 X 61 =           

30 X 57 =           76 X 15 =           95 X 64 =           70 X 17 =           

45 X 89 =           62 X 45 =           12 X 13 =           81 X 86 =           

15 X 91 =           82 X 15 =           74 X 67 =           97 X 35 =           

76 X 64 =           83 X 85 =           86 X 26 =           87 X 15 =           

21 X 26 =           39 X 31 =           20 X 62 =           29 X 40 =           

13 X 33 =           90 X 28 =           39 X 79 =           22 X 28 =           

50 X 80 =           14 X 37 =           24 X 31 =           22 X 81 =           

87 X 94 =           48 X 87 =           64 X 38 =           61 X 60 =           

18 X 69 =           88 X 94 =           49 X 39 =           62 X 64 =           

94 X 55 =           40 X 22 =           57 X 19 =           57 X 51 =           

35 X 11 =           74 X 97 =           84 X 45 =           25 X 98 =           

56 X 78 =           54 X 97 =           31 X 27 =           48 X 44 =           

86 X 23 =           13 X 21 =           12 X 90 =           16 X 97 =           

23 X 50 =           72 X 35 =           46 X 28 =           44 X 73 =           

20 X 34 =           16 X 69 =           45 X 70 =           44 X 44 =           

67 X 37 =           68 X 12 =           78 X 62 =           52 X 71 =           

75 X 64 =           79 X 12 =           47 X 40 =           11 X 62 =           

14 X 40 =           47 X 27 =           87 X 33 =           46 X 90 =           

32 X 65 =           87 X 87 =           74 X 37 =           57 X 65 =           

56 X 16 =           65 X 17 =           86 X 49 =           91 X 29 =           

38 X 68 =           79 X 49 =           73 X 13 =           80 X 44 =           

18 X 68 =           81 X 50 =           66 X 93 =           41 X 92 =           

36 X 58 =           95 X 87 =           68 X 81 =           24 X 72 =           

58 X 93 =           65 X 82 =           92 X 69 =           33 X 93 =           

89 X 62 =           55 X 45 =           58 X 82 =           56 X 46 =           

62 X 24 =           54 X 63 =           69 X 20 =           32 X 40 =           

90 X 39 =           25 X 97 =           27 X 61 =           31 X 59 =           

30 X 91 =           84 X 40 =           44 X 72 =           31 X 75 =           

52 X 79 =           56 X 87 =           73 X 52 =           75 X 29 =           

95 X 20 =           32 X 65 =           98 X 53 =           85 X 65 =           

64 X 85 =           65 X 55 =           36 X 89 =           72 X 88 =           

77 X 68 =           27 X 45 =           50 X 31 =           85 X 65 =           

82 X 66 =           51 X 65 =           39 X 91 =           13 X 98 =           

82 X 41 =           23 X 77 =           51 X 10 =           48 X 37 =           

11 X 10 =           53 X 52 =           69 X 49 =           30 X 59 =           

15 X 96 =           15 X 49 =           21 X 38 =           72 X 69 =           

64 X 65 =           13 X 96 =           54 X 17 =           74 X 18 =           

88 X 21 =           68 X 12 =           72 X 75 =           81 X 31 =           

87 X 96 =           74 X 25 =           83 X 11 =           85 X 39 =           

16 X 88 =           82 X 42 =           52 X 88 =           14 X 78 =           

63 X 83 =           23 X 71 =           72 X 19 =           44 X 87 =           

73 X 94 =           17 X 24 =           67 X 93 =           46 X 51 =           

23 X 72 =           46 X 64 =           12 X 44 =           82 X 58 =           

36 X 22 =           10 X 44 =           27 X 38 =           52 X 16 =           

83 X 48 =           47 X 98 =           29 X 95 =           63 X 26 =           

97 X 53 =           67 X 95 =           57 X 80 =           48 X 39 =           

31 X 59 =           23 X 33 =           25 X 46 =           43 X 95 =           

24 X 39 =           44 X 90 =           31 X 31 =           51 X 86 =           

63 X 40 =           13 X 67 =           42 X 62 =           33 X 66 =           

49 X 43 =           82 X 70 =           15 X 25 =           76 X 15 =           

50 X 62 =           35 X 84 =           25 X 12 =           46 X 73 =           

39 X 45 =           98 X 14 =           34 X 91 =           21 X 64 =           

37 X 44 =           10 X 85 =           87 X 86 =           55 X 49 =           

20 X 72 =           13 X 11 =           41 X 39 =           63 X 60 =           

80 X 61 =           52 X 71 =           29 X 87 =           71 X 11 =           

79 X 97 =           96 X 39 =           12 X 86 =           67 X 18 =           

68 X 61 =           70 X 72 =           46 X 79 =           95 X 76 =           

65 X 62 =           96 X 42 =           69 X 79 =           62 X 11 =           

50 X 62 =           48 X 36 =           71 X 27 =           94 X 27 =           

50 X 40 =           61 X 80 =           42 X 61 =           51 X 17 =           

97 X 66 =           12 X 10 =           85 X 75 =           63 X 71 =           

41 X 77 =           94 X 22 =           77 X 50 =           50 X 89 =           

91 X 70 =           20 X 78 =           11 X 98 =           64 X 74 =           

50 X 80 =           13 X 32 =           78 X 54 =           37 X 38 =           

95 X 28 =           27 X 73 =           55 X 56 =           40 X 86 =           

47 X 93 =           34 X 91 =           71 X 94 =           22 X 70 =           

95 X 35 =           10 X 97 =           16 X 44 =           12 X 12 =           

15 X 47 =           10 X 48 =           51 X 53 =           49 X 50 =           

18 X 81 =           96 X 50 =           41 X 42 =           71 X 98 =           

53 X 83 =           28 X 53 =           12 X 40 =           43 X 44 =           

36 X 43 =           52 X 77 =           65 X 38 =           64 X 54 =           

49 X 61 =           53 X 32 =           55 X 25 =           49 X 82 =           

36 X 69 =           71 X 94 =           17 X 25 =           89 X 49 =           

55 X 29 =           81 X 41 =           98 X 51 =           76 X 67 =           

64 X 74 =           86 X 27 =           83 X 67 =           39 X 62 =           

26 X 23 =           73 X 10 =           23 X 28 =           55 X 89 =           

10 X 89 =           77 X 65 =           52 X 73 =           51 X 51 =           

49 X 22 =           57 X 34 =           69 X 31 =           47 X 57 =           

31 X 67 =           75 X 22 =           67 X 28 =           32 X 63 =           

14 X 81 =           40 X 76 =           45 X 45 =           85 X 81 =           

78 X 83 =           13 X 56 =           86 X 67 =           98 X 47 =           

30 X 38 =           57 X 96 =           92 X 66 =           72 X 25 =           

67 X 68 =           68 X 28 =           22 X 55 =           66 X 44 =           

62 X 87 =           31 X 70 =           10 X 67 =           97 X 84 =           

74 X 40 =           58 X 75 =           24 X 10 =           88 X 41 =           

51 X 92 =           80 X 78 =           23 X 14 =           65 X 47 =           

87 X 34 =           64 X 18 =           53 X 13 =           19 X 34 =           

51 X 65 =           70 X 57 =           50 X 80 =           74 X 72 =           

73 X 16 =           94 X 77 =           63 X 58 =           19 X 18 =           

51 X 75 =           56 X 65 =           58 X 47 =           61 X 77 =           

42 X 97 =           31 X 17 =           44 X 81 =           24 X 64 =           

36 X 57 =           86 X 75 =           94 X 22 =           52 X 39 =           

66 X 53 =           65 X 86 =           67 X 73 =           79 X 98 =           

58 X 21 =           58 X 71 =           15 X 78 =           74 X 74 =           

95 X 85 =           55 X 10 =           38 X 43 =           42 X 43 =           

